cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2019,6073,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2020,7889,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2021,8308,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,1994,0,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,1995,2,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,1996,2,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,1997,4,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,1998,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,1999,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2000,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2001,3,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2002,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2003,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2004,0,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2005,2,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2006,2,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2007,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2008,1,Defunciones registradas
31,Yucatán,0,Estatal,1002000033,Defunciones registradas. Sexo no especificado,2009,0,Defunciones registradas
